Flight,Time,Altitude,LatError_Meters,LngError_Meters,Heading,Pitch,Roll,Latitude Change Meters,Longitude Change Meters
Flight 1,488860.5745,82689.13863,-97,3582,90,Retrograde,25,,
Flight 1,488860.7145,82631.94939,-97,3582,90,Retrograde,25,0,0
Flight 1,488860.8545,82574.57189,-99,3582,90,Retrograde,25,0,-2
Flight 1,488860.9945,82517.00857,-102,3583,90,Retrograde,35,-1,-3
Flight 1,488861.1345,82459.25418,-104,3584,90,Retrograde,35,-1,-2
Flight 1,488861.2745,82401.3183,-108,3585,90,Retrograde,35,-1,-4
Flight 1,488861.4145,82343.19382,-111,3586,90,Retrograde,35,-1,-3
Flight 1,488861.5545,82284.88292,-113,3587,90,Retrograde,35,-1,-2
Flight 1,488861.6945,82226.39242,-116,3588,90,Retrograde,35,-1,-3
Flight 1,488861.8345,82167.7127,-118,3588,90,Retrograde,35,0,-2
Flight 1,488861.9745,82108.8447,-121,3589,90,Retrograde,35,-1,-3
Flight 1,488862.1145,82049.78623,-123,3590,90,Retrograde,35,-1,-2
Flight 1,488862.2545,81990.54228,-126,3590,90,Retrograde,35,0,-3
Flight 1,488862.3945,81931.11591,-128,3591,90,Retrograde,35,-1,-2
Flight 1,488862.5345,81871.49941,-130,3592,90,Retrograde,35,-1,-2
Flight 1,488862.6745,81811.70115,-131,3592,90,Retrograde,35,0,-1
Flight 1,488862.8145,81751.70562,-130,3591,90,Retrograde,35,1,1
Flight 1,488862.9545,81691.53082,-129,3591,90,Retrograde,35,0,1
Flight 1,488863.0945,81631.17333,-127,3591,90,Retrograde,35,0,2
Flight 1,488863.2345,81570.62758,-125,3591,90,Retrograde,35,0,2
Flight 1,488863.3745,81509.90008,-123,3592,90,Retrograde,35,-1,2
Flight 1,488863.5145,81448.98463,-120,3591,90,Retrograde,35,1,3
Flight 1,488863.6545,81387.88898,-118,3591,90,Retrograde,35,0,2
Flight 1,488863.7945,81326.60572,-114,3591,90,Retrograde,35,0,4
Flight 1,488863.9345,81265.13851,-112,3591,90,Retrograde,35,0,2
Flight 1,488864.0745,81203.48524,-110,3591,90,Retrograde,35,0,2
Flight 1,488864.2145,81141.64928,-108,3590,90,Retrograde,35,1,2
Flight 1,488864.3545,81079.62938,-105,3591,90,Retrograde,35,-1,3
Flight 1,488864.4945,81017.42527,-103,3590,90,Retrograde,35,1,2
Flight 1,488864.6345,80955.03381,-101,3590,90,Retrograde,35,0,2
Flight 1,488864.7745,80892.45875,-99,3590,90,Retrograde,25,0,2
Flight 1,488864.9145,80829.70194,-98,3590,90,Retrograde,25,0,1
Flight 1,488865.0545,80766.75346,-95,3590,90,Retrograde,25,0,3
Flight 1,488865.1945,80703.62323,-92,3590,90,Retrograde,25,0,3
Flight 1,488865.3345,80640.30939,-92,3590,90,Retrograde,25,0,0
Flight 1,488865.4745,80576.80202,-91,3590,90,Retrograde,25,0,1
Flight 1,488865.6145,80513.11502,-91,3590,90,Retrograde,25,0,0
Flight 1,488865.7545,80449.23762,-91,3590,90,Retrograde,25,0,0
Flight 1,488865.8945,80385.17007,-91,3590,90,Retrograde,25,0,0
Flight 1,488866.0345,80320.91984,-92,3590,90,Retrograde,25,0,-1
Flight 1,488866.1745,80256.47854,-94,3590,90,Retrograde,25,0,-2
Flight 1,488866.3145,80191.84803,-94,3591,90,Retrograde,25,-1,0
Flight 1,488866.4545,80127.0351,-96,3590,90,Retrograde,25,1,-2
Flight 1,488866.5945,80062.03083,-96,3590,90,Retrograde,25,0,0
Flight 1,488866.7345,79996.83921,-97,3590,90,Retrograde,25,0,-1
Flight 1,488866.8745,79931.45652,-97,3590,90,Retrograde,25,0,0
Flight 1,488867.0145,79865.89268,-97,3590,90,Retrograde,25,0,0
Flight 1,488867.1545,79800.13903,-97,3591,90,Retrograde,25,-1,0
Flight 1,488867.2945,79734.19991,-97,3591,90,Retrograde,25,0,0
Flight 1,488867.4345,79668.06876,-97,3591,90,Retrograde,25,0,0
Flight 1,488867.5745,79601.75308,-97,3591,90,Retrograde,25,0,0
Flight 1,488867.7145,79535.25099,-97,3591,90,Retrograde,25,0,0
Flight 1,488867.8545,79468.55782,-98,3592,90,Retrograde,25,-1,-1
Flight 1,488867.9945,79401.67857,-99,3592,90,Retrograde,25,0,-1
Flight 1,488868.1345,79334.60964,-98,3592,90,Retrograde,25,0,1
Flight 1,488868.2745,79267.3515,-99,3592,90,Retrograde,25,0,-1
Flight 1,488868.4145,79199.90882,-99,3592,90,Retrograde,25,0,0
