Flight,Time,Altitude,LatError_Meters,LngError_Meters,Heading,Pitch,Roll,Latitude Change Meters,Longitude Change Meters
Flight 10,488843.7164,82415.99232,-84,4075,90,Retrograde-9,25,-3070,-84
Flight 10,488843.9564,82314.47747,-84,4075,90,Retrograde-9,25,0,0
Flight 10,488844.1964,82212.39401,-84,4075,90,Retrograde-9,25,0,0
Flight 10,488844.4364,82109.77396,-88,4075,90,Retrograde-9,25,0,-4
Flight 10,488844.6764,82006.6043,-91,4076,90,Retrograde-9,25,-1,-3
Flight 10,488844.9164,81902.89244,-95,4077,90,Retrograde-9,25,-1,-4
Flight 10,488845.1564,81798.63908,-99,4077,90,Retrograde-9,25,0,-4
Flight 10,488845.3964,81693.82084,-96,4077,90,Retrograde-9,25,0,3
Flight 10,488845.6364,81588.46428,-94,4077,90,Retrograde-9,25,0,2
Flight 10,488845.8764,81482.55204,-92,4077,90,Retrograde-9,25,0,2
Flight 10,488846.1164,81376.10203,-91,4077,90,Retrograde-9,25,0,1
Flight 10,488846.3564,81269.09205,-89,4076,90,Retrograde-9,25,1,2
Flight 10,488846.5964,81161.53994,-87,4077,90,Retrograde-9,25,-1,2
Flight 10,488846.8364,81053.43541,-86,4077,90,Retrograde-9,25,0,1
Flight 10,488847.0764,80944.78251,-85,4077,90,Retrograde-9,25,0,1
Flight 10,488847.3164,80835.58024,-84,4078,90,Retrograde-9,25,-1,1
Flight 10,488847.5564,80725.82533,-83,4078,90,Retrograde-9,25,0,1
Flight 10,488847.7964,80615.52454,-84,4077,90,Retrograde-9,25,1,-1
Flight 10,488848.0364,80504.66325,-83,4077,90,Retrograde-9,25,0,1
Flight 10,488848.2764,80393.25476,-83,4077,90,Retrograde-9,25,0,0
Flight 10,488848.5164,80281.2993,-83,4077,90,Retrograde-9,25,0,0
Flight 10,488848.7564,80168.78934,-83,4077,90,Retrograde-9,25,0,0
Flight 10,488848.9964,80055.72564,-83,4077,90,Retrograde-9,25,0,0
Flight 10,488849.2364,79942.11287,-83,4078,90,Retrograde-9,25,-1,0
Flight 10,488849.4764,79827.94451,-84,4078,90,Retrograde-9,25,0,-1
Flight 10,488849.7164,79713.22785,-86,4078,90,Retrograde-9,25,0,-2
Flight 10,488849.9564,79597.95373,-86,4078,90,Retrograde-9,25,0,0
Flight 10,488850.1964,79482.12992,-85,4077,90,Retrograde-9,25,1,1
Flight 10,488850.4364,79365.75915,-84,4076,90,Retrograde-9,25,1,1
Flight 10,488850.6764,79248.84195,-85,4077,90,Retrograde-9,25,-1,-1
Flight 10,488850.9164,79131.36838,-85,4077,90,Retrograde-9,25,0,0
Flight 10,488851.1564,79013.34839,-86,4078,90,Retrograde-9,25,-1,-1
Flight 10,488851.3964,78894.77093,-87,4079,90,Retrograde-9,25,-1,-1
Flight 10,488851.6364,78775.63841,-86,4078,90,Retrograde-9,25,1,1
Flight 10,488851.8764,78655.96693,-83,4078,90,Retrograde-9,25,0,3
Flight 10,488852.1164,78535.73417,-83,4077,90,Retrograde-9,25,1,0
Flight 10,488852.3564,78414.955,-84,4077,90,Retrograde-9,25,0,-1
Flight 10,488852.5964,78293.62512,-84,4077,90,Retrograde-9,25,0,0
Flight 10,488852.8364,78171.7419,-87,4078,90,Retrograde-9,25,-1,-3
Flight 10,488853.0764,78049.30245,-87,4079,90,Retrograde-9,25,-1,0
Flight 10,488853.3164,77926.32226,-84,4080,90,Retrograde-9,25,-1,3
Flight 10,488853.5564,77802.78452,-84,4080,90,Retrograde-9,25,0,0
Flight 10,488853.7964,77678.69966,-86,4080,90,Retrograde-9,25,0,-2
Flight 10,488854.0364,77554.06347,-86,4079,90,Retrograde-9,25,1,0
Flight 10,488854.2764,77428.87955,-85,4078,90,Retrograde-9,25,1,1
Flight 10,488854.5164,77303.1394,-84,4077,90,Retrograde-9,25,1,1
Flight 10,488854.7564,77176.85773,-84,4078,90,Retrograde-9,25,-1,0
Flight 10,488854.9964,77050.01236,-86,4078,90,Retrograde-9,25,0,-2
